Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2021-12-14,17:00,Marumo Gallants FC,0–0,Cape Town City,,Peter Mokaba Stadium,Tshidiso Maruping,Match Report,
2021-12-14,17:30,Sundowns,2–1,Baroka FC,,Loftus Versfeld Stadium,Akhona Makalima,Match Report,
2021-12-14,19:30,Moroka Swallows,1–1,Orlando Pirates,,Volkswagen Dobsonville Stadium,Tshidiso Mkwanazi,Match Report,
2021-12-17,17:15,Marumo Gallants FC,0–1,AmaZulu,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2021-12-17,19:30,Sundowns,4–1,Orlando Pirates,,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2021-12-18,15:30,Stellenbosch FC,1–0,Baroka FC,,Danie Craven Stadium,Thokozani Mkhize,Match Report,
2021-12-18,15:30,Golden Arrows,1–1,TS Galaxy,,Princess Magogo Stadium,Sicelo Velapi,Match Report,
2021-12-18,18:00,Sekhukhune United FC,0–0,SuperSport,,Emirates Airline Park,Philangenkosi Khumalo,Match Report,
2021-12-18,20:15,Cape Town City,2–1,Moroka Swallows,,DHL Stadium,Eugene Mdluli,Match Report,
2021-12-19,15:30,Royal Eagles FC,1–0,Kaizer Chiefs,,Chatsworth Stadium,Luxolo Badi,Match Report,
2021-12-19,18:00,Maritzburg Utd,0–2,Chippa Utd,,Harry Gwala Stadium,Jelly Chavani,Match Report,
2021-12-20,17:30,Orlando Pirates,2–1,Marumo Gallants FC,,Orlando Stadium,Abongile Tom,Match Report,
2021-12-20,19:30,AmaZulu,1–0,Sundowns,,Hollywoodbets Kings Park Stadium,Michael Mosemeng,Match Report,
2021-12-22,15:30,TS Galaxy,0–1,Stellenbosch FC,,Mbombela Stadium,Akhona Makalima,Match Report,
2021-12-22,17:00,Baroka FC,1–0,Royal Eagles FC,,Peter Mokaba Stadium,Facundo Andújar,Match Report,
2021-12-22,17:00,Chippa Utd,0–0,Sekhukhune United FC,,Nelson Mandela Bay Stadium,Eugene Mdluli,Match Report,
2021-12-22,17:00,Moroka Swallows,2–2,Golden Arrows,,Volkswagen Dobsonville Stadium,Olani Kwinda,Match Report,
2021-12-22,17:30,SuperSport,3–2,Cape Town City,,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
2021-12-22,19:30,Kaizer Chiefs,2–0,Maritzburg Utd,,Soccer City,Cedrick Muvhali,Match Report,
2021-12-23,17:30,Sundowns,1–1,Marumo Gallants FC,,Loftus Versfeld Stadium,Thokozani Mkhize,Match Report,
2021-12-23,19:30,Orlando Pirates,2–1,AmaZulu,,Orlando Stadium,Luxolo Badi,Match Report,
2022-02-07,19:30,Sundowns,2–0,Chippa Utd,,Loftus Versfeld Stadium,Philangenkosi Khumalo,Match Report,
2022-02-14,19:30,Baroka FC,1–1,Sundowns,,Pietersburg Stadium,Xola Sitela,Match Report,
2022-02-15,17:30,Royal Eagles FC,1–0,Sekhukhune United FC,,Chatsworth Stadium,Abongile Tom,Match Report,
2022-02-15,19:30,Cape Town City,0–0,Kaizer Chiefs,,DHL Stadium,Luxolo Badi,Match Report,
2022-02-15,19:30,Maritzburg Utd,2–1,SuperSport,,Harry Gwala Stadium,Christopher Kistoor,Match Report,
2022-02-16,17:30,Stellenbosch FC,1–1,Moroka Swallows,,Danie Craven Stadium,Victor Hlungwani,Match Report,
2022-02-16,19:30,Orlando Pirates,0–0,Golden Arrows,,Orlando Stadium,Jelly Chavani,Match Report,
2022-02-19,15:30,Chippa Utd,2–2,Royal Eagles FC,,Sisa Dukashe Stadium,Michael Mosemeng,Match Report,
2022-02-19,18:00,Moroka Swallows,0–1,TS Galaxy,,Volkswagen Dobsonville Stadium,Akhona Makalima,Match Report,
2022-02-20,15:30,Golden Arrows,0–1,Cape Town City,,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
2022-02-20,18:00,Sekhukhune United FC,4–0,Baroka FC,,Emirates Airline Park,Eugene Mdluli,Match Report,
2022-02-22,19:30,AmaZulu,0–0,TS Galaxy,,Moses Mabhida Stadium,Tshidiso Maruping,Match Report,
2022-02-25,19:30,Maritzburg Utd,1–2,Golden Arrows,,Harry Gwala Stadium,Michael Mosemeng,Match Report,
2022-02-26,15:30,Chippa Utd,2–3,Marumo Gallants FC,,Sisa Dukashe Stadium,Akhona Makalima,Match Report,
2022-02-26,17:30,Sekhukhune United FC,0–1,Moroka Swallows,,Emirates Airline Park,Luxolo Badi,Match Report,
2022-02-26,19:30,Baroka FC,0–1,Kaizer Chiefs,,Peter Mokaba Stadium,Philangenkosi Khumalo,Match Report,
2022-02-27,15:30,SuperSport,0–2,Royal Eagles FC,,Lucas Masterpieces Moripe Stadium,Masixole Bambiso,Match Report,
2022-03-02,17:00,Marumo Gallants FC,3–0,Baroka FC,,Peter Mokaba Stadium,Tshidiso Mkwanazi,Match Report,
2022-03-02,17:30,Orlando Pirates,0–0,Cape Town City,,Orlando Stadium,Victor Gomes,Match Report,
2022-03-02,19:30,AmaZulu,2–2,Stellenbosch FC,,Hollywoodbets Kings Park Stadium,Thando Ndzandzeka,Match Report,
2022-03-02,19:30,TS Galaxy,0–3,Sundowns,,Mbombela Stadium,Jelly Chavani,Match Report,
2022-03-05,15:30,Baroka FC,1–0,TS Galaxy,,Peter Mokaba Stadium,Tshidiso Maruping,Match Report,
2022-03-05,15:30,Orlando Pirates,1–2,Kaizer Chiefs,,Orlando Stadium,Masixole Bambiso,Match Report,
2022-03-05,17:00,Cape Town City,2–1,Sekhukhune United FC,,DHL Stadium,Philangenkosi Khumalo,Match Report,
2022-03-05,17:30,SuperSport,2–0,AmaZulu,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2022-03-05,19:30,Maritzburg Utd,2–1,Sundowns,,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2022-03-06,15:30,Golden Arrows,1–2,Chippa Utd,,Princess Magogo Stadium,Thabo khabela,Match Report,
2022-03-06,15:30,Royal Eagles FC,1–0,Moroka Swallows,,Chatsworth Stadium,Victor Gomes,Match Report,
2022-03-06,17:30,Marumo Gallants FC,1–0,Stellenbosch FC,,Peter Mokaba Stadium,Akhona Makalima,Match Report,
2022-03-16,17:00,Marumo Gallants FC,0–0,Chippa Utd,,Peter Mokaba Stadium,Facundo Andújar,Match Report,
2022-03-16,17:30,Sekhukhune United FC,1–1,Maritzburg Utd,,Emirates Airline Park,Tshidiso Maruping,Match Report,
2022-03-16,19:30,Orlando Pirates,3–2,SuperSport,,Orlando Stadium,Philangenkosi Khumalo,Match Report,
2022-03-19,15:30,TS Galaxy,1–1,SuperSport,,Mbombela Stadium,Thando Ndzandzeka,Match Report,
2022-03-19,17:30,Cape Town City,1–0,Marumo Gallants FC,,Athlone Stadium,Sikhumbuzo Gasa,Match Report,
2022-03-19,19:30,Kaizer Chiefs,0–1,Golden Arrows,,Soccer City,Abongile Tom,Match Report,
2022-03-20,15:30,Stellenbosch FC,2–2,Royal Eagles FC,,Idas Valley Sports Ground,Victor Hlungwani,Match Report,
2022-04-02,15:00,TS Galaxy,1–4,Royal Eagles FC,,Mbombela Stadium,Masixole Bambiso,Match Report,
2022-04-02,15:00,Stellenbosch FC,1–1,Sekhukhune United FC,,Danie Craven Stadium,Luxolo Badi,Match Report,
2022-04-02,17:00,Chippa Utd,1–3,Kaizer Chiefs,,Nelson Mandela Bay Stadium,Philangenkosi Khumalo,Match Report,
2022-04-02,19:30,Golden Arrows,3–2,SuperSport,,Princess Magogo Stadium,Akhona Makalima,Match Report,
2022-04-03,17:00,Cape Town City,5–1,Baroka FC,,DHL Stadium,Nkululeko Siyeni,Match Report,
2022-04-05,17:30,SuperSport,1–1,Chippa Utd,,Lucas Masterpieces Moripe Stadium,Tshidiso Maruping,Match Report,
2022-04-05,19:30,Kaizer Chiefs,0–0,TS Galaxy,,Soccer City,Eugene Mdluli,Match Report,
2022-04-06,17:00,Golden Arrows,0–2,Stellenbosch FC,,Princess Magogo Stadium,Facundo Andújar,Match Report,
2022-04-06,17:00,Royal Eagles FC,2–0,Marumo Gallants FC,,Chatsworth Stadium,Abongile Tom,Match Report,
2022-04-06,17:00,Baroka FC,0–1,AmaZulu,,Peter Mokaba Stadium,Luxolo Badi,Match Report,
2022-04-06,17:30,Sekhukhune United FC,0–1,Orlando Pirates,,Emirates Airline Park,Victor Hlungwani,Match Report,
2022-04-06,19:30,Moroka Swallows,2–4,Sundowns,,Volkswagen Dobsonville Stadium,Victor Gomes,Match Report,
2022-04-06,19:30,Maritzburg Utd,0–1,Cape Town City,,Harry Gwala Stadium,Jelly Chavani,Match Report,
2022-04-12,15:00,Sundowns,6–0,Golden Arrows,,Loftus Versfeld Stadium,Michael Mosemeng,Match Report,
2022-04-12,19:30,Baroka FC,0–0,Orlando Pirates,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2022-04-12,20:00,Maritzburg Utd,1–1,Moroka Swallows,,Harry Gwala Stadium,Thabo khabela,Match Report,
2022-04-16,15:00,Sekhukhune United FC,0–1,TS Galaxy,,Makhulong Stadium,Jelly Chavani,Match Report,
2022-04-16,15:00,AmaZulu,1–0,Maritzburg Utd,,Moses Mabhida Stadium,Victor Hlungwani,Match Report,
2022-04-16,17:00,Cape Town City,1–1,Royal Eagles FC,,DHL Stadium,Luxolo Badi,Match Report,
2022-04-16,19:30,Kaizer Chiefs,0–1,SuperSport,,Soccer City,Xola Sitela,Match Report,
2022-04-17,15:00,Chippa Utd,1–0,Stellenbosch FC,,Sisa Dukashe Stadium,Eugene Mdluli,Match Report,
2022-04-17,15:00,Marumo Gallants FC,1–1,Moroka Swallows,,Peter Mokaba Stadium,Philangenkosi Khumalo,Match Report,
2022-04-23,15:00,TS Galaxy,1–1,Maritzburg Utd,500.0,Mbombela Stadium,Luxolo Badi,Match Report,
2022-04-23,15:00,Golden Arrows,0–0,Sekhukhune United FC,,Princess Magogo Stadium,Masixole Bambiso,Match Report,
2022-04-23,17:00,Stellenbosch FC,1–0,Kaizer Chiefs,,Danie Craven Stadium,Michael Mosemeng,Match Report,
2022-04-23,19:30,Marumo Gallants FC,0–0,SuperSport,,Peter Mokaba Stadium,Tshidiso Mkwanazi,Match Report,
2022-04-24,15:00,Moroka Swallows,3–2,Baroka FC,,Volkswagen Dobsonville Stadium,Victor Hlungwani,Match Report,
2022-04-24,15:00,Royal Eagles FC,0–0,AmaZulu,,Chatsworth Stadium,Tshidiso Maruping,Match Report,
2022-04-27,15:00,Golden Arrows,2–1,Kaizer Chiefs,,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
2022-04-27,17:00,Orlando Pirates,0–0,Chippa Utd,,Orlando Stadium,Cedrick Muvhali,Match Report,
2022-04-27,19:30,Sundowns,0–0,Cape Town City,,Loftus Versfeld Stadium,Jelly Chavani,Match Report,
2022-04-30,15:00,Kaizer Chiefs,1–2,Cape Town City,,Soccer City,Thokozani Mkhize,Match Report,
2022-05-02,15:00,TS Galaxy,1–0,Orlando Pirates,,Mbombela Stadium,Jelly Chavani,Match Report,
2022-05-03,17:00,SuperSport,0–0,Stellenbosch FC,,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
2022-05-03,17:00,Moroka Swallows,0–1,AmaZulu,,Volkswagen Dobsonville Stadium,Michael Mosemeng,Match Report,
2022-05-03,17:30,Sekhukhune United FC,0–2,Sundowns,,Emirates Airline Park,Tshidiso Mkwanazi,Match Report,
2022-05-03,19:30,Kaizer Chiefs,1–0,Marumo Gallants FC,,Soccer City,Akhona Makalima,Match Report,
2022-05-04,17:00,Chippa Utd,0–0,Cape Town City,,Nelson Mandela Bay Stadium,Masixole Bambiso,Match Report,
2022-05-04,17:00,Baroka FC,1–0,Golden Arrows,,Peter Mokaba Stadium,Abongile Tom,Match Report,
2022-05-04,19:30,Maritzburg Utd,1–0,Royal Eagles FC,,Harry Gwala Stadium,Cedrick Muvhali,Match Report,
2022-05-06,19:30,SuperSport,2–2,Moroka Swallows,,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2022-05-07,15:00,Chippa Utd,2–2,Baroka FC,,Nelson Mandela Bay Stadium,Luxolo Badi,Match Report,
2022-05-07,15:00,Marumo Gallants FC,0–0,Golden Arrows,,Peter Mokaba Stadium,Mokhele Thulo,Match Report,
2022-05-07,17:00,AmaZulu,0–0,Sekhukhune United FC,,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
2022-05-07,17:00,Stellenbosch FC,1–1,Maritzburg Utd,,Princess Magogo Stadium,Jelly Chavani,Match Report,
2022-05-07,19:30,Cape Town City,2–0,TS Galaxy,,DHL Stadium,Eugene Mdluli,Match Report,
2022-05-08,17:30,Kaizer Chiefs,1–1,Sundowns,,Soccer City,Xola Sitela,Match Report,
2022-05-14,15:00,TS Galaxy,0–0,Marumo Gallants FC,,Mbombela Stadium,Jelly Chavani,Match Report,
2022-05-14,15:00,Moroka Swallows,0–0,Chippa Utd,,Volkswagen Dobsonville Stadium,Thando Ndzandzeka,Match Report,
2022-05-14,15:00,Golden Arrows,2–2,Royal Eagles FC,,Sugar Ray Xulu Stadium,Masixole Bambiso,Match Report,
2022-05-14,15:00,Cape Town City,0–0,AmaZulu,1722.0,DHL Stadium,Michael Mosemeng,Match Report,
2022-05-14,15:00,Sundowns,0–3,Stellenbosch FC,,ABSA Tuks Stadium,Akhona Makalima,Match Report,
2022-05-14,15:00,Baroka FC,3–1,SuperSport,,Peter Mokaba Stadium,Eugene Mdluli,Match Report,
2022-05-14,15:00,Sekhukhune United FC,0–1,Kaizer Chiefs,,Emirates Airline Park,Victor Hlungwani,Match Report,
2022-05-21,15:00,Maritzburg Utd,1–0,Baroka FC,,Harry Gwala Stadium,Abongile Tom,Match Report,
2022-05-21,15:00,Marumo Gallants FC,2–2,Sekhukhune United FC,,Peter Mokaba Stadium,Sikhumbuzo Gasa,Match Report,
2022-05-21,15:00,Chippa Utd,0–1,TS Galaxy,,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2022-05-21,15:00,Kaizer Chiefs,2–2,Moroka Swallows,,Soccer City,Masixole Bambiso,Match Report,
2022-05-21,15:00,Stellenbosch FC,1–0,Cape Town City,,Danie Craven Stadium,Cedrick Muvhali,Match Report,
2022-05-23,15:00,Royal Eagles FC,2–3,Sundowns,,Chatsworth Stadium,Jelly Chavani,Match Report,
2022-05-24,15:00,AmaZulu,1–2,Golden Arrows,250.0,Moses Mabhida Stadium,Luxolo Badi,Match Report,
2022-05-24,19:30,Orlando Pirates,4–1,Maritzburg Utd,,Lucas Masterpieces Moripe Stadium,Cedrick Muvhali,Match Report,
2022-05-27,19:30,Royal Eagles FC,2–2,Orlando Pirates,,Chatsworth Stadium,Thando Ndzandzeka,Match Report,
2022-05-30,18:00,SuperSport,2–0,Orlando Pirates,,Lucas Masterpieces Moripe Stadium,Luxolo Badi,Match Report,